Index,olefin,metal,Ligand-M,ligand,solvent,T(K),p(bar),CO/H2,t(h),L/M,S/M,[M](mM),L/B,Year,Journal,Database,DOI,bins
17,C=CC1=CC=CC=C1,Rh,C[C@H](CC[C@H]1C)P->%161C2=C(P->%17(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H](CC[C@H]1C)P1C2=C(P(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82,CC1=CC=CC=C1,333.15,20.0,1.0,25.0,2.0,1213.0,2.042857143,-1.278753601,2007,Dissertation,citeseer,10.6100/IR627570,14
20,C=CC1=CC=CC=C1,Rh,C[C@H](CC[C@H]1C)P->%161C2=C(P->%17(OC3=CC=C(C=CC=C4)C4=[C@@]35)OC6=[C@@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H](CC[C@H]1C)P1C2=C(P(OC3=CC=C(C=CC=C4)C4=[C@@]35)OC6=[C@@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82,CC1=CC=CC=C1,333.15,10.0,1.0,25.0,2.0,1213.0,2.042857143,-1.255272505,2007,Dissertation,citeseer,10.6100/IR627570,16
21,C=CC1=CC=CC=C1,Rh,C[C@H](CC[C@H]1C)P->%161C2=C(P->%17(OC3=CC=C(C=CC=C4)C4=[C@@]35)OC6=[C@@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H](CC[C@H]1C)P1C2=C(P(OC3=CC=C(C=CC=C4)C4=[C@@]35)OC6=[C@@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82,CC1=CC=CC=C1,333.15,20.0,1.0,25.0,2.0,1213.0,2.042857143,-1.322219295,2007,Dissertation,citeseer,10.6100/IR627570,13
22,C=CC1=CC=CC=C1,Rh,C[C@H](CC[C@H]1C)P->%161C2=C(P->%17(OC3=CC=C(C=CC=C4)C4=[C@@]35)OC6=[C@@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H](CC[C@H]1C)P1C2=C(P(OC3=CC=C(C=CC=C4)C4=[C@@]35)OC6=[C@@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82,CC1=CC=CC=C1,333.15,30.0,1.0,25.0,2.0,1213.0,2.042857143,-1.342422681,2007,Dissertation,citeseer,10.6100/IR627570,12
23,C=CC1=CC=CC=C1,Rh,C[C@H](CC[C@H]1C)P->%161C2=C(P->%17(OC3=CC=C(C=CC=C4)C4=[C@@]35)OC6=[C@@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H](CC[C@H]1C)P1C2=C(P(OC3=CC=C(C=CC=C4)C4=[C@@]35)OC6=[C@@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82,CC1=CC=CC=C1,333.15,40.0,1.0,25.0,2.0,1213.0,2.042857143,-1.342422681,2007,Dissertation,citeseer,10.6100/IR627570,12
24,C=CC1=CC=CC=C1,Rh,C[C@H](CC[C@H]1C)P->%161C2=C(P->%17(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H](CC[C@H]1C)P1C2=C(P(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82,CC1=CC=CC=C1,333.15,20.0,1.0,24.0,1.0,1213.0,2.042857143,-0.301029996,2007,Dissertation,citeseer,10.6100/IR627570,48
25,C=CC1=CC=CC=C1,Rh,C[C@H](CC[C@H]1C)P->%161C2=C(P->%17(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H](CC[C@H]1C)P1C2=C(P(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82,CC1=CC=CC=C1,333.15,20.0,1.0,24.0,1.0,1213.0,2.042857143,-0.903089987,2007,Dissertation,citeseer,10.6100/IR627570,29
26,C=CC1=CC=CC=C1,Rh,C[C@H](CC[C@H]1C)P->%161C2=C(P->%17(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H](CC[C@H]1C)P1C2=C(P(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82,CC1=CC=CC=C1,333.15,20.0,1.0,24.0,2.0,1213.0,2.042857143,-1.301029996,2007,Dissertation,citeseer,10.6100/IR627570,13
27,C=CC1=CC=CC=C1,Rh,C[C@H](CC[C@H]1C)P->%161C2=C(P->%17(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H](CC[C@H]1C)P1C2=C(P(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82,CC1=CC=CC=C1,333.15,20.0,1.0,24.0,3.0,1213.0,2.042857143,-1.342422681,2007,Dissertation,citeseer,10.6100/IR627570,12
28,C=CCCCCCC,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,C1CCOC1,373.15,40.0,1.0,16.0,2.2,500.0,5.1,0.500602351,2010,Angewandte Chemie,wiley,10.1002/anie.201001972,70
29,C=CCCCCCC,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,CC1=CC=CC=C1C,373.15,40.0,1.0,16.0,2.2,500.0,5.1,0.477121255,2010,Angewandte Chemie,wiley,10.1002/anie.201001972,69
30,C=CCCCCCC,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,CCCCCCC,373.15,40.0,1.0,16.0,2.2,500.0,5.1,0.327358934,2010,Angewandte Chemie,wiley,10.1002/anie.201001972,62
31,C=CCCCCCC,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,COCCOCCOC,373.15,40.0,1.0,16.0,2.2,500.0,5.1,0.477121255,2010,Angewandte Chemie,wiley,10.1002/anie.201001972,69
32,C=CCCCCCC,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,CC1=CC=CC=C1,373.15,40.0,1.0,16.0,2.2,500.0,5.1,0.477121255,2010,Angewandte Chemie,wiley,10.1002/anie.201001972,69
34,C=CCCCCCC,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,C1CCOC1,373.15,40.0,1.0,16.0,2.2,500.0,5.1,0.410174465,2010,Angewandte Chemie,wiley,10.1002/anie.201001972,64
35,C=CCCCCCC,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,C1CCOC1,373.15,40.0,1.0,16.0,2.2,500.0,5.1,0.454258372,2010,Angewandte Chemie,wiley,10.1002/anie.201001972,67
36,C=CCCCCCC,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,C1CCOC1,393.15,40.0,1.0,16.0,2.2,500.0,3.4,0.388860351,2010,Angewandte Chemie,wiley,10.1002/anie.201001972,64
37,C=CCCCCCC,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,C1CCOC1,373.15,40.0,1.0,16.0,2.2,500.0,3.4,0.454258372,2010,Angewandte Chemie,wiley,10.1002/anie.201001972,67
39,C=CCCCCCC,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,C1CCOC1,373.15,50.0,1.0,16.0,2.2,500.0,3.4,0.454258372,2010,Angewandte Chemie,wiley,10.1002/anie.201001972,67
40,C=CCCCCCC,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,C1CCOC1,373.15,20.0,1.0,16.0,2.2,500.0,3.4,0.477121255,2010,Angewandte Chemie,wiley,10.1002/anie.201001972,69
41,C=CCCCCCC,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,C1CCOC1,373.15,10.0,1.0,16.0,2.2,500.0,3.4,0.477121255,2010,Angewandte Chemie,wiley,10.1002/anie.201001972,69
42,C=CCCCCCC,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,C1CCOC1,373.15,20.0,2.0,16.0,2.2,500.0,3.4,0.477121255,2010,Angewandte Chemie,wiley,10.1002/anie.201001972,69
43,C=CCCCCCC,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,C1CCOC1,373.15,20.0,3.0,16.0,2.2,500.0,3.4,0.500602351,2010,Angewandte Chemie,wiley,10.1002/anie.201001972,70
44,C=CCCCCCC,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,C1CCOC1,373.15,20.0,2.0,20.0,1.0,500.0,3.4,0.410174465,2010,Angewandte Chemie,wiley,10.1002/anie.201001972,64
46,C=CCCCCCC,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,C1CCOC1,373.15,20.0,2.0,20.0,3.0,500.0,3.4,0.500602351,2010,Angewandte Chemie,wiley,10.1002/anie.201001972,70
48,C=CCCCCCC,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,C1CCOC1,373.15,20.0,2.0,20.0,3.0,500.0,3.4,0.500602351,2010,Angewandte Chemie,wiley,10.1002/anie.201001972,70
49,C=CCCCCCC,Ir,COC1=CC(OC)=C(P->%16(C2=C(OC)C=C(OC)C=C2OC)C2=C(OC)C=C(OC)C=C2OC)C(OC)=C1.COC1=CC(OC)=C(P->%17(C2=C(OC)C=C(OC)C=C2OC)C2=C(OC)C=C(OC)C=C2OC)C(OC)=C1.[IrH]%16%17%18.[C-]->%18#[O+],COC1=CC(OC)=C(P(C2=C(OC)C=C(OC)C=C2OC)C2=C(OC)C=C(OC)C=C2OC)C(OC)=C1,C1CCOC1,373.15,20.0,2.0,20.0,2.2,500.0,3.4,0.788370416,2010,Angewandte Chemie,wiley,10.1002/anie.201001972,79
50,C=CCCCCCC,Ir,CC(C)(C)C1=CC(C(C)(C)C)=C(OP->%16(OC2=C(C(C)(C)C)C=C(C(C)(C)C)C=C2)OC2=C(C(C)(C)C)C=C(C(C)(C)C)C=C2)C=C1.CC(C)(C)C1=CC(C(C)(C)C)=C(OP->%17(OC2=C(C(C)(C)C)C=C(C(C)(C)C)C=C2)OC2=C(C(C)(C)C)C=C(C(C)(C)C)C=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],CC(C)(C)C1=CC(C(C)(C)C)=C(OP(OC2=C(C(C)(C)C)C=C(C(C)(C)C)C=C2)OC2=C(C(C)(C)C)C=C(C(C)(C)C)C=C2)C=C1,C1CCOC1,373.15,20.0,2.0,20.0,2.2,500.0,3.4,0.388860351,2010,Angewandte Chemie,wiley,10.1002/anie.201001972,64
51,C=CCCCCCC,Ir,C1=CC=C(P->%16(CCCCP->%17(C2=CC=CC=C2)C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(CCCCP(C2=CC=CC=C2)C2=CC=CC=C2)C2=CC=CC=C2)C=C1,C1CCOC1,373.15,20.0,2.0,20.0,1.0,500.0,3.4,0.454258372,2010,Angewandte Chemie,wiley,10.1002/anie.201001972,67
53,C=CCCCCCC,Ir,C1CCC(P->%16(C2CCCCC2)C2CCCCC2)CC1.C1CCC(P->%17(C2CCCCC2)C2CCCCC2)CC1.[IrH]%16%17%18.[C-]->%18#[O+],C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,C1CCOC1,373.15,20.0,2.0,20.0,2.2,500.0,3.4,0.307560863,2010,Angewandte Chemie,wiley,10.1002/anie.201001972,61
56,C=CCCCCCC,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,C1CCOC1,393.15,20.0,2.0,20.0,8.0,5000.0,3.4,0.500602351,2010,Angewandte Chemie,wiley,10.1002/anie.201001972,70
59,C=CCC1=CC=CC=C1,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,CN1CCCC1=O,298.15,20.0,2.0,16.0,2.2,500.0,3.4,0.490086232,2010,Angewandte Chemie,wiley,10.1002/anie.201001972,70
60,C=CCC1=CC=C(OC)C=C1,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,CN1CCCC1=O,298.15,20.0,2.0,16.0,2.2,500.0,3.4,0.490086232,2010,Angewandte Chemie,wiley,10.1002/anie.201001972,70
61,C=CC1CCCCC1,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,CN1CCCC1=O,298.15,20.0,2.0,16.0,2.2,500.0,3.4,0.720159303,2010,Angewandte Chemie,wiley,10.1002/anie.201001972,78
62,C=CC1CC=CCC1,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,CN1CCCC1=O,298.15,20.0,2.0,16.0,2.2,500.0,3.4,0.575407797,2010,Angewandte Chemie,wiley,10.1002/anie.201001972,74
63,C=CCCC,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,CN1CCCC1=O,298.15,20.0,2.0,20.0,2.2,500.0,3.4,0.477121255,2010,Angewandte Chemie,wiley,10.1002/anie.201001972,69
66,C=CCCCCCCCCCC,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,CN1CCCC1=O,298.15,20.0,2.0,20.0,2.2,500.0,3.4,0.477121255,2010,Angewandte Chemie,wiley,10.1002/anie.201001972,69
67,C=CCCCCCC,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,CN1CCCC1=O,298.15,20.0,2.0,16.0,2.2,500.0,3.4,0.500602351,2010,Angewandte Chemie,wiley,10.1002/anie.201001972,70
68,C=CCCCCCC,Rh,CCN(CC)C1=CC(P->%16(OC)C2=CC=CC(N(CC)CC)=C2)=CC=C1.CCN(CC)C1=CC(P->%17(OC)C2=CC=CC(N(CC)CC)=C2)=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],CCN(CC)C1=CC(P(OC)C2=CC=CC(N(CC)CC)=C2)=CC=C1,CC1=CC=CC=C1,373.15,10.0,1.0,16.0,2.0,100.0,7.750916546,-0.104735351,2017,Journal of Chemical Sciences,Elsevier,10.1007/s12039-017-1341-z,51
70,C=CCCCCCC,Rh,CCN(CC)C1=CC(P->%16(OC)C2=CC=CC(N(CC)CC)=C2)=CC=C1.CCN(CC)C1=CC(P->%17(OC)C2=CC=CC(N(CC)CC)=C2)=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],CCN(CC)C1=CC(P(OC)C2=CC=CC(N(CC)CC)=C2)=CC=C1,CC1=CC=CC=C1,373.15,10.0,1.0,16.0,6.0,100.0,7.750916546,0.087150176,2017,Journal of Chemical Sciences,Elsevier,10.1007/s12039-017-1341-z,56
