Index,olefin,metal,Ligand-M,ligand,solvent,T(K),p(bar),CO/H2,t(h),L/M,S/M,[M](mM),L/B,Year,Journal,Database,DOI
10,C=COC(C)=O,Rh,C[C@@H](C1=C2C=CC=CC2=CC=C1)N(CCN([C@@H](C)C1=C2C=CC=CC2=CC=C1)P->%16(C1=CC=CC=C1)C1=CC=CC=C1)P->%17(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],C[C@@H](C1=C2C=CC=CC2=CC=C1)N(CCN([C@@H](C)C1=C2C=CC=CC2=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,C1=CC=CC=C1,333.15,20,1,21,2,1400,0.54,-1.230448921,2007,Dissertation,citeseer,10.6100/IR627570
11,C=COC(C)=O,Rh,C[C@@H](C1=C2C=CC=CC2=CC=C1)N(CCN([C@@H](C)C1=C2C=CC=CC2=CC=C1)P->%16(C1=CC=CC=C1)C1=CC=CC=C1)P->%17(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],C[C@@H](C1=C2C=CC=CC2=CC=C1)N(CCN([C@@H](C)C1=C2C=CC=CC2=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,C1=CC=CC=C1,313.15,20,1,21,2,1400,0.54,-1.301029996,2007,Dissertation,citeseer,10.6100/IR627570
12,C=COC(C)=O,Rh,C[C@@H](C1CCCCC1)N(CCN([C@@H](C)C1CCCCC1)P->%16(C1=CC=CC=C1)C1=CC=CC=C1)P->%17(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],C[C@@H](C1CCCCC1)N(CCN([C@@H](C)C1CCCCC1)P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,C1=CC=CC=C1,333.15,20,1,21,2,1400,0.54,-0.62324929,2007,Dissertation,citeseer,10.6100/IR627570
13,C=COC(C)=O,Rh,C1=CC=C(P->%16(C2=CC=CC=C2)N(CCN([C@@H]2CCCC3=CC=CC=C32)P->%17(C2=CC=CC=C2)C2=CC=CC=C2)[C@@H]2CCCC3=CC=CC=C32)C=C1.[RhH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)N(CCN([C@@H]2CCCC3=CC=CC=C32)P(C2=CC=CC=C2)C2=CC=CC=C2)[C@@H]2CCCC3=CC=CC=C32)C=C1,C1=CC=CC=C1,333.15,20,1,21,2,1400,0.54,-0.380211242,2007,Dissertation,citeseer,10.6100/IR627570
14,C=CC1=CC=CC=C1,Rh,C[C@H](CC[C@H]1C)P->%161C2=C(P->%17(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H](CC[C@H]1C)P1C2=C(P(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82,CC1=CC=CC=C1,333.15,20,1,25,2,1213,2.042857143,-1.322219295,2007,Dissertation,citeseer,10.6100/IR627570
15,C=CC1=CC=CC=C1,Rh,C[C@H](CC[C@H]1C)P->%161C2=C(P->%17(OC3=CC=C(C=CC=C4)C4=[C@@]35)OC6=[C@@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H](CC[C@H]1C)P1C2=C(P(OC3=CC=C(C=CC=C4)C4=[C@@]35)OC6=[C@@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82,CC1=CC=CC=C1,333.15,20,1,25,2,1213,2.042857143,-1.322219295,2007,Dissertation,citeseer,10.6100/IR627570
16,C=CC1=CC=CC=C1,Rh,C[C@H](CC[C@H]1C)P->%161C2=C(P->%17(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H](CC[C@H]1C)P1C2=C(P(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82,CC1=CC=CC=C1,333.15,10,1,25,2,1213,2.042857143,-1.255272505,2007,Dissertation,citeseer,10.6100/IR627570
17,C=CC1=CC=CC=C1,Rh,C[C@H](CC[C@H]1C)P->%161C2=C(P->%17(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H](CC[C@H]1C)P1C2=C(P(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82,CC1=CC=CC=C1,333.15,20,1,25,2,1213,2.042857143,-1.278753601,2007,Dissertation,citeseer,10.6100/IR627570
18,C=CC1=CC=CC=C1,Rh,C[C@H](CC[C@H]1C)P->%161C2=C(P->%17(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H](CC[C@H]1C)P1C2=C(P(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82,CC1=CC=CC=C1,333.15,30,1,25,2,1213,2.042857143,-1.380211242,2007,Dissertation,citeseer,10.6100/IR627570
19,C=CC1=CC=CC=C1,Rh,C[C@H](CC[C@H]1C)P->%161C2=C(P->%17(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H](CC[C@H]1C)P1C2=C(P(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82,CC1=CC=CC=C1,333.15,40,1,25,2,1213,2.042857143,-1.397940009,2007,Dissertation,citeseer,10.6100/IR627570
20,C=CC1=CC=CC=C1,Rh,C[C@H](CC[C@H]1C)P->%161C2=C(P->%17(OC3=CC=C(C=CC=C4)C4=[C@@]35)OC6=[C@@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H](CC[C@H]1C)P1C2=C(P(OC3=CC=C(C=CC=C4)C4=[C@@]35)OC6=[C@@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82,CC1=CC=CC=C1,333.15,10,1,25,2,1213,2.042857143,-1.255272505,2007,Dissertation,citeseer,10.6100/IR627570
21,C=CC1=CC=CC=C1,Rh,C[C@H](CC[C@H]1C)P->%161C2=C(P->%17(OC3=CC=C(C=CC=C4)C4=[C@@]35)OC6=[C@@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H](CC[C@H]1C)P1C2=C(P(OC3=CC=C(C=CC=C4)C4=[C@@]35)OC6=[C@@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82,CC1=CC=CC=C1,333.15,20,1,25,2,1213,2.042857143,-1.322219295,2007,Dissertation,citeseer,10.6100/IR627570
22,C=CC1=CC=CC=C1,Rh,C[C@H](CC[C@H]1C)P->%161C2=C(P->%17(OC3=CC=C(C=CC=C4)C4=[C@@]35)OC6=[C@@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H](CC[C@H]1C)P1C2=C(P(OC3=CC=C(C=CC=C4)C4=[C@@]35)OC6=[C@@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82,CC1=CC=CC=C1,333.15,30,1,25,2,1213,2.042857143,-1.342422681,2007,Dissertation,citeseer,10.6100/IR627570
23,C=CC1=CC=CC=C1,Rh,C[C@H](CC[C@H]1C)P->%161C2=C(P->%17(OC3=CC=C(C=CC=C4)C4=[C@@]35)OC6=[C@@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H](CC[C@H]1C)P1C2=C(P(OC3=CC=C(C=CC=C4)C4=[C@@]35)OC6=[C@@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82,CC1=CC=CC=C1,333.15,40,1,25,2,1213,2.042857143,-1.342422681,2007,Dissertation,citeseer,10.6100/IR627570
24,C=CC1=CC=CC=C1,Rh,C[C@H](CC[C@H]1C)P->%161C2=C(P->%17(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H](CC[C@H]1C)P1C2=C(P(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82,CC1=CC=CC=C1,333.15,20,1,24,1,1213,2.042857143,-0.301029996,2007,Dissertation,citeseer,10.6100/IR627570
25,C=CC1=CC=CC=C1,Rh,C[C@H](CC[C@H]1C)P->%161C2=C(P->%17(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H](CC[C@H]1C)P1C2=C(P(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82,CC1=CC=CC=C1,333.15,20,1,24,1,1213,2.042857143,-0.903089987,2007,Dissertation,citeseer,10.6100/IR627570
26,C=CC1=CC=CC=C1,Rh,C[C@H](CC[C@H]1C)P->%161C2=C(P->%17(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H](CC[C@H]1C)P1C2=C(P(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82,CC1=CC=CC=C1,333.15,20,1,24,2,1213,2.042857143,-1.301029996,2007,Dissertation,citeseer,10.6100/IR627570
27,C=CC1=CC=CC=C1,Rh,C[C@H](CC[C@H]1C)P->%161C2=C(P->%17(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H](CC[C@H]1C)P1C2=C(P(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82,CC1=CC=CC=C1,333.15,20,1,24,3,1213,2.042857143,-1.342422681,2007,Dissertation,citeseer,10.6100/IR627570
28,C=CCCCCCC,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,C1CCOC1,373.15,40,1,16,2.2,500,5.1,0.500602351,2010,Angewandte Chemie,wiley,10.1002/anie.201001972
29,C=CCCCCCC,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,CC1=CC=CC=C1C,373.15,40,1,16,2.2,500,5.1,0.477121255,2010,Angewandte Chemie,wiley,10.1002/anie.201001972
30,C=CCCCCCC,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,CCCCCCC,373.15,40,1,16,2.2,500,5.1,0.327358934,2010,Angewandte Chemie,wiley,10.1002/anie.201001972
31,C=CCCCCCC,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,COCCOCCOC,373.15,40,1,16,2.2,500,5.1,0.477121255,2010,Angewandte Chemie,wiley,10.1002/anie.201001972
32,C=CCCCCCC,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,CC1=CC=CC=C1,373.15,40,1,16,2.2,500,5.1,0.477121255,2010,Angewandte Chemie,wiley,10.1002/anie.201001972
33,C=CCCCCCC,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,CN1CCCC1=O,373.15,40,1,16,2.2,500,5.1,0.454258372,2010,Angewandte Chemie,wiley,10.1002/anie.201001972
34,C=CCCCCCC,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,C1CCOC1,373.15,40,1,16,2.2,500,5.1,0.410174465,2010,Angewandte Chemie,wiley,10.1002/anie.201001972
35,C=CCCCCCC,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,C1CCOC1,373.15,40,1,16,2.2,500,5.1,0.454258372,2010,Angewandte Chemie,wiley,10.1002/anie.201001972
36,C=CCCCCCC,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,C1CCOC1,393.15,40,1,16,2.2,500,3.4,0.388860351,2010,Angewandte Chemie,wiley,10.1002/anie.201001972
37,C=CCCCCCC,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,C1CCOC1,373.15,40,1,16,2.2,500,3.4,0.454258372,2010,Angewandte Chemie,wiley,10.1002/anie.201001972
38,C=CCCCCCC,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,C1CCOC1,353.15,40,1,16,2.2,500,3.4,0.477121255,2010,Angewandte Chemie,wiley,10.1002/anie.201001972
39,C=CCCCCCC,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,C1CCOC1,373.15,50,1,16,2.2,500,3.4,0.454258372,2010,Angewandte Chemie,wiley,10.1002/anie.201001972
40,C=CCCCCCC,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,C1CCOC1,373.15,20,1,16,2.2,500,3.4,0.477121255,2010,Angewandte Chemie,wiley,10.1002/anie.201001972
41,C=CCCCCCC,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,C1CCOC1,373.15,10,1,16,2.2,500,3.4,0.477121255,2010,Angewandte Chemie,wiley,10.1002/anie.201001972
42,C=CCCCCCC,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,C1CCOC1,373.15,20,2,16,2.2,500,3.4,0.477121255,2010,Angewandte Chemie,wiley,10.1002/anie.201001972
43,C=CCCCCCC,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,C1CCOC1,373.15,20,3,16,2.2,500,3.4,0.500602351,2010,Angewandte Chemie,wiley,10.1002/anie.201001972
44,C=CCCCCCC,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,C1CCOC1,373.15,20,2,20,1,500,3.4,0.410174465,2010,Angewandte Chemie,wiley,10.1002/anie.201001972
45,C=CCCCCCC,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,C1CCOC1,373.15,20,2,20,4,500,3.4,0.500602351,2010,Angewandte Chemie,wiley,10.1002/anie.201001972
46,C=CCCCCCC,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,C1CCOC1,373.15,20,2,20,3,500,3.4,0.500602351,2010,Angewandte Chemie,wiley,10.1002/anie.201001972
47,C=CCCCCCC,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,C1CCOC1,373.15,20,2,20,2.2,500,3.4,0.500602351,2010,Angewandte Chemie,wiley,10.1002/anie.201001972
48,C=CCCCCCC,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,C1CCOC1,373.15,20,2,20,3,500,3.4,0.500602351,2010,Angewandte Chemie,wiley,10.1002/anie.201001972
49,C=CCCCCCC,Ir,COC1=CC(OC)=C(P->%16(C2=C(OC)C=C(OC)C=C2OC)C2=C(OC)C=C(OC)C=C2OC)C(OC)=C1.COC1=CC(OC)=C(P->%17(C2=C(OC)C=C(OC)C=C2OC)C2=C(OC)C=C(OC)C=C2OC)C(OC)=C1.[IrH]%16%17%18.[C-]->%18#[O+],COC1=CC(OC)=C(P(C2=C(OC)C=C(OC)C=C2OC)C2=C(OC)C=C(OC)C=C2OC)C(OC)=C1,C1CCOC1,373.15,20,2,20,2.2,500,3.4,0.788370416,2010,Angewandte Chemie,wiley,10.1002/anie.201001972
