label,predict
44,40
63,15
74,68
35,24
45,45
90,94
22,27
33,43
49,42
89,89
14,6
28,31
70,36
87,90
77,83
52,45
27,44
35,69
1,0
58,73
15,17
15,20
62,59
28,28
73,76
56,63
56,62
52,52
36,23
12,14
31,34
73,79
0,0
50,50
24,36
16,2
64,11
18,5
67,66
0,0
37,43
72,69
78,76
59,49
5,0
0,5
77,70
86,84
60,52
33,45
8,8
24,23
9,12
9,14
2,5
27,32
75,77
26,29
59,51
40,37
33,36
19,20
71,62
60,63
4,13
55,49
56,59
41,36
74,76
83,77
12,9
0,1
75,76
81,78
76,85
3,4
81,82
51,59
4,13
34,29
25,28
90,92
84,71
88,92
32,33
20,20
53,55
25,24
48,59
82,85
69,82
43,42
0,0
52,54
0,5
72,72
39,33
9,7
90,84
35,35
81,63
73,79
48,44
48,67
39,21
0,0
93,86
9,9
1,0
50,44
25,32
14,3
10,11
77,79
86,78
41,82
92,89
56,54
2,0
24,29
8,12
41,50
11,8
62,59
39,30
42,30
0,0
83,85
39,37
37,39
82,84
69,83
16,29
10,3
35,41
46,35
25,34
28,32
69,83
36,33
50,57
58,65
7,0
32,32
34,7
84,87
57,55
0,0
47,47
22,36
29,25
31,39
26,21
29,30
52,56
53,53
37,37
8,6
93,93
15,0
1,1
29,42
0,0
2,2
52,49
80,28
49,47
0,1
12,22
21,14
74,74
33,30
92,94
15,11
25,23
34,33
75,89
68,73
46,65
34,45
0,0
86,86
46,40
44,34
74,74
73,59
81,70
0,19
17,28
24,29
77,73
0,0
44,29
0,19
28,28
19,21
0,0
61,67
90,92
0,0
90,94
72,76
8,10
4,7
0,0
50,52
64,64
57,57
18,21
20,23
32,35
47,44
19,20
32,30
17,20
24,25
93,90
30,10
80,77
94,91
64,53
25,21
89,84
59,32
57,58
34,37
13,9
0,0
42,39
87,86
15,27
68,56
54,57
41,29
9,6
31,35
44,29
44,33
3,6
57,61
50,42
1,6
62,76
64,62
6,11
39,35
52,46
93,78
85,84
55,42
3,0
0,0
69,42
46,43
21,32
89,86
1,0
57,60
56,56
65,60
0,0
81,82
36,41
15,20
78,34
16,9
76,78
52,50
26,34
83,76
87,85
57,56
26,30
90,86
13,9
61,63
0,0
17,21
0,0
0,19
56,48
66,68
28,26
47,41
85,65
92,94
23,25
18,23
48,73
66,64
52,54
14,20
10,6
0,0
90,87
6,2
32,22
0,0
35,28
19,12
72,77
75,36
66,63
8,21
35,49
12,18
66,59
8,4
94,94
18,32
84,80
70,68
82,78
93,94
48,65
12,17
48,57
79,80
40,40
67,63
92,75
29,40
1,1
7,10
63,68
11,8
70,73
3,0
88,84
13,0
89,88
16,16
57,59
62,59
91,90
40,49
68,61
53,41
91,90
65,67
16,10
28,36
67,68
74,72
15,9
65,62
89,87
79,74
12,16
37,41
31,42
0,0
91,92
36,43
79,79
39,46
82,83
60,49
40,37
14,2
8,86
34,39
49,35
59,56
58,48
54,38
94,93
65,63
19,13
39,42
62,57
11,21
20,13
6,0
48,59
45,44
9,31
77,75
43,61
42,23
90,92
14,57
93,89
12,16
65,56
64,64
25,28
51,56
0,85
0,30
25,42
0,0
74,76
73,87
20,27
51,49
39,36
92,94
77,77
0,0
66,71
66,64
4,3
13,13
28,24
67,66
0,2
44,39
16,17
34,34
5,11
71,69
63,56
75,84
84,57
53,17
53,64
3,3
64,60
34,26
28,30
67,54
63,68
61,60
76,73
57,55
70,85
83,82
22,61
89,83
52,55
72,66
22,22
89,91
5,0
18,19
70,73
65,67
26,23
77,76
69,61
0,0
6,18
2,1
40,42
13,17
3,6
90,82
31,24
8,7
67,68
3,1
0,0
22,11
25,49
1,2
46,36
14,16
19,17
29,26
20,13
62,54
0,0
37,38
79,88
28,26
80,83
13,22
63,54
51,46
13,13
60,44
61,38
49,52
39,32
64,67
5,0
41,40
92,89
61,70
30,35
2,8
41,0
32,32
35,43
37,41
74,70
66,50
70,87
57,43
62,67
3,10
23,25
16,11
64,65
71,58
73,66
43,39
76,76
75,79
33,27
38,28
80,74
0,34
41,44
53,52
4,5
